OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
11385,13126,Platanus,hispanica,,Platanus hispanica,London Plane Tree,10,16 - 33 Feet,Main Campus
11386,13127,Platanus,hispanica,,Platanus hispanica,London Plane Tree,9,16 - 33 Feet,Main Campus
11387,13128,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,7,16 - 33 Feet,Main Campus
11388,13129,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,6.3,16 - 33 Feet,Main Campus
11389,13130,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,1.96850394,< 16 Feet,Main Campus
11390,13131,Sequoia,sempervirens,,Sequoia sempervirens ,Coast Redwood,3.93700787,16 - 33 Feet,Main Campus
11391,13132,Sequoia,sempervirens,,Sequoia sempervirens ,Coast Redwood,5.90551181,16 - 33 Feet,Main Campus
11392,13133,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,14.17322835,16 - 33 Feet,Main Campus
11394,13135,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,11.81102362,16 - 33 Feet,Main Campus
11395,13136,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,11.81102362,16 - 33 Feet,Main Campus
11397,13138,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,7,16 - 33 Feet,Main Campus
11398,13139,Quercus,lobata,,Quercus lobata,Valley Oak,13,16 - 33 Feet,Main Campus
11399,13140,Pinus,sp.,,Pinus sp.,,11.81102362,16 - 33 Feet,Main Campus
11400,13165,Platanus,hispanica,,Platanus hispanica,London Plane Tree,12,34 - 50 Feet,Main Campus
11401,13141,Quercus,lobata,,Quercus lobata,Valley Oak,13,34 - 50 Feet,Main Campus
11402,13143,Quercus,lobata,,Quercus lobata,Valley Oak,8,16 - 33 Feet,Main Campus
11403,13144,Quercus,douglasii,,Quercus douglasii,Blue Oak,5,16 - 33 Feet,Main Campus
11404,13145,Quercus,lobata,,Quercus lobata,Valley Oak,8,16 - 33 Feet,Main Campus
11405,13146,Quercus,lobata,,Quercus lobata,Valley Oak,6,16 - 33 Feet,Main Campus
11406,13147,Quercus,lobata,,Quercus lobata,Valley Oak,10,34 - 50 Feet,Main Campus
11407,13148,Quercus,lobata,,Quercus lobata,Valley Oak,12,34 - 50 Feet,Main Campus
11408,13149,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,6,16 - 33 Feet,Main Campus
11409,13150,Quercus,lobata,,Quercus lobata,Valley Oak,11,16 - 33 Feet,Main Campus
11410,13151,Quercus,lobata,,Quercus lobata,Valley Oak,8,34 - 50 Feet,Main Campus
11411,13152,Quercus,lobata,,Quercus lobata,Valley Oak,8,34 - 50 Feet,Main Campus
11412,13153,Quercus,douglasii,,Quercus douglasii,Blue Oak,5,16 - 33 Feet,Main Campus
11413,13154,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
11414,13155,Quercus,lobata,,Quercus lobata,Valley Oak,9,16 - 33 Feet,Main Campus
11415,13156,Quercus,lobata,,Quercus lobata,Valley Oak,11,34 - 50 Feet,Main Campus
11416,13157,Quercus,douglasii,,Quercus douglasii,Blue Oak,6,16 - 33 Feet,Main Campus
11417,13158,Quercus,lobata,,Quercus lobata,Valley Oak,11,34 - 50 Feet,Main Campus
11418,13159,Quercus,douglasii,,Quercus douglasii,Blue Oak,5,16 - 33 Feet,Main Campus
11419,13160,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,7,16 - 33 Feet,Main Campus
11420,13161,Quercus,lobata,,Quercus lobata,Valley Oak,11,34 - 50 Feet,Main Campus
11421,13162,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
11422,13163,Quercus,douglasii,,Quercus douglasii,Blue Oak,5,16 - 33 Feet,Main Campus
11423,13164,Quercus,lobata,,Quercus lobata,Valley Oak,7,16 - 33 Feet,Main Campus
11424,13166,Quercus,lobata,,Quercus lobata,Valley Oak,16,34 - 50 Feet,Main Campus
11425,13167,Quercus,lobata,,Quercus lobata,Valley Oak,16,34 - 50 Feet,Main Campus
11426,13168,Quercus,lobata,,Quercus lobata,Valley Oak,14,34 - 50 Feet,Main Campus
11428,13172,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,10,16 - 33 Feet,Main Campus
11429,13173,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,9,16 - 33 Feet,Main Campus
11430,13174,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,10,16 - 33 Feet,Main Campus
